t	p
0	1.667e-08
2.015	1.6611e-08
4.031	1.669e-08
6.047	1.6677e-08
8.047	1.6556e-08
10.062	1.6523e-08
12.062	1.6522e-08
14.047	1.6397e-08
16.078	1.6255e-08
18.078	1.6285e-08
20.078	1.6242e-08
22.078	1.612e-08
24.093	1.6146e-08
26.093	1.6009e-08
28.109	1.5969e-08
30.093	1.5949e-08
32.125	1.5767e-08
34.109	1.5784e-08
36.125	1.5742e-08
38.14	1.5651e-08
40.156	1.5668e-08
42.156	1.565e-08
44.156	1.554e-08
46.156	1.5488e-08
48.156	1.5488e-08
50.156	1.547e-08
52.156	1.5429e-08
54.156	1.5336e-08
56.156	1.5153e-08
58.156	1.5308e-08
60.156	1.5171e-08
62.172	1.5136e-08
64.172	1.5121e-08
66.172	1.5139e-08
68.172	1.5069e-08
70.187	1.5147e-08
72.187	1.4984e-08
74.203	1.498e-08
76.187	1.4894e-08
78.203	1.4968e-08
80.203	1.4892e-08
82.203	1.4768e-08
84.203	1.4762e-08
86.218	1.4733e-08
88.234	1.4723e-08
90.218	1.4653e-08
92.25	1.4568e-08
94.281	1.4598e-08
96.281	1.4558e-08
98.281	1.4603e-08
100.281	1.4549e-08
102.281	1.4503e-08
104.281	1.4462e-08
106.281	1.4483e-08
108.281	1.4415e-08
110.281	1.4429e-08
112.281	1.4323e-08
114.297	1.4356e-08
116.297	1.4362e-08
118.312	1.4295e-08
120.312	1.4221e-08
122.328	1.4271e-08
124.343	1.4245e-08
126.328	1.4259e-08
128.343	1.4176e-08
130.343	1.4217e-08
132.359	1.4174e-08
134.359	1.4124e-08
136.328	1.4085e-08
138.359	1.4133e-08
140.359	1.4147e-08
142.39	1.4098e-08
144.406	1.4146e-08
146.422	1.411e-08
148.437	1.402e-08
150.437	1.4033e-08
152.437	1.4e-08
154.437	1.4042e-08
156.437	1.3993e-08
158.453	1.3945e-08
160.437	1.392e-08
162.468	1.4017e-08
164.484	1.3976e-08
166.5	1.3886e-08
168.5	1.3837e-08
170.5	1.3887e-08
172.515	1.387e-08
174.531	1.3807e-08
176.515	1.3826e-08
178.515	1.3761e-08
180.562	1.3761e-08
182.578	1.3767e-08
184.593	1.3825e-08
186.593	1.3792e-08
188.609	1.3746e-08
190.609	1.3752e-08
192.609	1.3794e-08
194.625	1.3736e-08
196.625	1.3715e-08
198.625	1.3759e-08
200.625	1.3709e-08
202.625	1.3649e-08
204.625	1.3699e-08
206.625	1.3731e-08
208.625	1.362e-08
210.625	1.3681e-08
212.625	1.3614e-08
214.625	1.3655e-08
216.625	1.354e-08
218.625	1.3681e-08
220.64	1.3596e-08
222.656	1.3538e-08
224.656	1.3528e-08
226.656	1.3643e-08
228.672	1.3565e-08
230.687	1.3614e-08
232.703	1.3495e-08
234.703	1.3553e-08
236.703	1.3515e-08
238.703	1.3485e-08
240.703	1.3577e-08
242.687	1.349e-08
244.703	1.3484e-08
246.703	1.3483e-08
248.703	1.3466e-08
250.718	1.3424e-08
252.734	1.3441e-08
254.734	1.3511e-08
256.734	1.341e-08
258.734	1.3431e-08
260.75	1.3387e-08
262.765	1.3335e-08
264.781	1.3339e-08
266.781	1.335e-08
268.812	1.3416e-08
270.812	1.3373e-08
272.812	1.3299e-08
274.843	1.3289e-08
276.843	1.3316e-08
278.859	1.3299e-08
280.859	1.3339e-08
282.89	1.3291e-08
284.859	1.3377e-08
286.89	1.3312e-08
288.906	1.3325e-08
290.89	1.3309e-08
292.922	1.3258e-08
294.922	1.3244e-08
296.922	1.326e-08
